Unnamed: 0,name,kcal,protein,fat,carbohydrate,label
3966,Салат Агрохолдинг Московский Гранж зелёный листовой,1.7,0.3,2.2,18.0,green salad
3967,Салат Агрохолдинг Московский Изилиф зелёный листовой,1.3,0.2,2.2,16.0,green salad
3968,Салат Агрохолдинг Московский Латук дуболистный зелёный,1.4,0.2,1.9,15.0,green salad
3969,Салат Агрохолдинг Московский Премиум зелёный,1.4,0.2,1.9,15.0,green salad
3971,Салат Агрохолдинг Московский Ромэн,1.8,1.1,2.7,17.0,green salad
3973,Салат Агрохолдинг Московский Фриллис хрустящий,1.4,0.2,1.6,25.0,green salad
3974,Салат Айсберг,0.9,0.1,1.8,14.0,green salad
3978,Салат Афицион,1.5,0.2,2.2,14.0,green salad
3979,Салат Батавия,1.5,0.2,2,16.0,green salad
4007,Салат кочанный,0.9,0.1,1.8,14.0,green salad
4028,Салат Оаклиф,1.5,0.2,2,16.0,green salad
4037,Салат Полевой,1.1,0,3.5,23.0,green salad
4041,Салат Романо,1.8,1.1,2.7,17.0,green salad
4057,Салат Фризе,1.5,0,2.2,14.0,green salad
